ID,Schema_TableName,Process_ID,Status,Last_Update_Date_Column,Primary_identifier_Column,Total_Downstreams,Final_Table_Description,Modified,Modified By
220,idm.lr_dc_impression,164,Active,event_time,Not Yet Added,0,Double Click Impression data,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
221,idm.lr_dc_click,164,Active,event_time,Not Yet Added,0,DoubleClick click data,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
222,idm.lr_dc_rich_media,164,Active,event_time,Not Yet Added,0,DoubleClick RichMedia data,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
223,idm.csv2_dc_activity,164,Active,event_time,Not Yet Added,0,DoubleClick Activity data via Floodlight tag,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
224,idm.csv2_ecst,164,Active,event_time,Not Yet Added,0,LiveRamp eCST tag,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
225,cdr_p_bus_sum.db_gsem_by_st,165,Active,mkt_update_date,Not Yet Added,0,gsem by stid,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
226,cdr_p_bus_sum.db_gsem,165,Active,mkt_update_date,Not Yet Added,0,raw gsem data,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
227,cdr_p_bus_sum.hpe_6sense_mid_to_stid,166,Archived,mkt_update_date,Not Yet Added,0,Not Yet Added,03-07-2024 07:23,"Lara, Victor"
228,cdr_p_bus_sum.hpe_6sense_mid,166,Archived,mkt_update_date,Not Yet Added,0,Not Yet Added,03-07-2024 07:23,"Lara, Victor"
229,cdr_p_bus_sum.account_classification_stid,167,Active,mkt_update_date,Not Yet Added,1,Not Yet Added,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
230,cdr_p_bus_sum.account_classification_mdcp,167,Active,mkt_update_date,Not Yet Added,0,Not Yet Added,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
235,cdr_p_bus_sum.idc_segs,170,Archived,mkt_update_date,Not Yet Added,51,old idc mappings to sic,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
236,cdr_p_bus_sum.sic_idc_mapping,170,Archived,mkt_update_date,Not Yet Added,0,mapping of sic8 to idc industry/segment,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
237,cdr_p_bus_sum.dpv_flattened_prty_dmnsn,171,Active,mkt_update_date,Not Yet Added,0,emdm party hierarchy from eap data,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
238,cdr_p_bus_sum.dpv_flattened_prty_dmnsn_final_new,171,Active,mkt_update_date,Not Yet Added,0,emdm party hierarchy from eap data final,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
239,cdr_p_bus_sum.mkt_region_mapping,172,Active,mkt_update_date,Not Yet Added,0,Not Yet Added,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
241,203222_cmn_competitor_installed_base.hg_it_spend,174,Active,create_date,Not Yet Added,21,Not Yet Added,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
242,203222_cmn_competitor_installed_base.profound_data,175,Active,mkt_update_date,Not Yet Added,19,Not Yet Added,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
243,203222_cmn_competitor_installed_base.profound_gduns_dbi,176,Active,mkt_update_date,Not Yet Added,18,Not Yet Added,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
244,cdr_p_bus_sum.sun_base_v0,177,Active,mkt_update_date,Not Yet Added,6,abm initial base,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
245,cdr_p_15day.sun_sic_reference1,178,Active,mkt_update_date,Not Yet Added,5,Not Yet Added,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
246,cdr_p_bus_sum.dpv_active_mdcpid,179,Archived,mkt_update_date,Not Yet Added,16,active mdcp ids from sfdc,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
247,cdr_p_bus_sum.mg_akhila_pduns,180,Active,mkt_update_date,Not Yet Added,0,Not Yet Added,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
248,cdr_p_bus_sum.anaplan_segmentation,181,Active,update_date,Not Yet Added,6,anaplan segmentation,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
249,cdr_p_bus_sum.athena_duplicate_responses,182,Active,mkt_update_date,Not Yet Added,0,duplicate responses from athena.,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
250,203222_cde_gma_data_mart.aprimo_fiscal_mapping,183,Active,mkt_update_date,Not Yet Added,0,fiscal mapping used in aprimo.,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
251,egig_app_ibsv.panhpe_clean_units_v,184,Archived,mkt_update_date,Not Yet Added,20,archived - do not use - ibsv unit (do not use),10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
252,cmn_hp_standard_reference_data.prft_ctr_d,185,Archived,upd_gmt_ts,Not Yet Added,34,archived - do not use legacy profit center table from edw.,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
253,cdr_p_bus_sum.profound_data_duns,186,Archived,mkt_update_date,Not Yet Added,51,archived - do not use,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
254,cdr_p_bus_sum.mkt_atam_stid_inmillion_prod,187,Active,MKT_UPDATE_DATE,Not Yet Added,0,Not Yet Added,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
255,203222_cde_gma_data_mart.athena_tblaccounts,188,Active,mkt_update_date,Not Yet Added,1,athena accounts table,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
256,203222_cde_gma_data_mart.athena_tblsfdc,189,Active,mkt_update_date,Not Yet Added,2,sfdc table information from athena.,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
257,203222_cde_gma_data_mart.athena_tblsfdc_leads,190,Active,mkt_update_date,Not Yet Added,1,sfdc leads from athena.,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
258,cdr_p_bus_sum.bmt_custid_party_mapping,191,Active,mkt_update_date,Not Yet Added,35,update bmt mapping in cdr.,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
259,cmn_hp_standard_reference_data.rec_expln_bndl_b_d,192,Active,upd_gmt_ts,Not Yet Added,34,bundle code used to filter edw orders.,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
260,edw_pro.rec_expln_bndl_b_d,193,Active,upd_gmt_ts,Not Yet Added,0,bundle code from hpe it table,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
261,cmn_hp_standard_reference_data.bus_area_d,194,Active,upd_gmt_ts,Not Yet Added,34,ba hierarchy.,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
262,edw_pro.bus_area_d,195,Active,upd_gmt_ts,Not Yet Added,0,business area hierarchy from hpe it table,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
263,cdr_p_15day.sv_elq_email_activities_tmp,196,Active,mkt_update_date,Not Yet Added,1,Not Yet Added,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
264,cdr_p_bus_sum.cdp_aam_contacts,197,Active,mkt_update_date,Not Yet Added,0,Not Yet Added,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
265,cdr_p_bus_sum.cdp_discover20_registrants,198,Active,mkt_update_date,Not Yet Added,1,Not Yet Added,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
266,cdr_p_bus_sum.cdp_geo,199,Active,mkt_update_date,Not Yet Added,0,Not Yet Added,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
267,cdr_p_bus_sum.cdpc_cmi_v,200,Active,last_update_date,Not Yet Added,10,Not Yet Added,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
268,cdr_p_bus_sum.core_lead_datamart,201,Active,mkt_update_date,Not Yet Added,2,Leads Datamart,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
269,cdr_p_bus_sum.core_pipeline_datamart,202,Active,mkt_update_date,Not Yet Added,0,Pipeline Datamart,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
270,cdr_p_bus_sum.pk_heartbeat_contact_mapping,203,Active,Update_date,Not Yet Added,0,Not Yet Added,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
271,cdr_p_bus_sum.webclick_url_pagename_popularity_unique_map,204,Active,mkt_update_date,Not Yet Added,1,Not Yet Added,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
272,cdr_p_bus_sum.webinar_master_event,205,Active,mkt_update_date,Not Yet Added,1,Not Yet Added,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
273,cdr_p_bus_sum.tbd_cic_reporting,206,Active,na,Not Yet Added,0,Power point presentation,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
274,cdr_p_bus_sum.ct_new_geo,207,Active,mkt_update_date,Not Yet Added,51,geo mapping,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
275,cdr_p_bus_sum.custid_opsi_mapping,208,Archived,last_upd_ts,Not Yet Added,35,custid to opsi mapping.,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
276,edw_pro.cust_d,209,Active,upd_gmt_ts,Not Yet Added,0,customer detailed hierarchy from hpe it table,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
277,cmn_hp_standard_reference_data.cust_hier_d,210,Active,upd_gmt_ts,Not Yet Added,30,legacy customer hierarchy from edw.,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
278,edw_pro.cust_hier_d,211,Active,upd_gmt_ts,Not Yet Added,0,customer hierarchy from hpe it table,10/18/2023 02:46 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
