ID,Process_Title,Process_Platform,Refresh_Schedule,Process_Status,Comments,L0_Process,MSA_Owned,Compliance,FinalTable_DB,Data_Hierarchy_ID,Process_Description,Github_Link,UpdatedDate_Compliance,Modified,Modified By
164,liveramp,16,More than once a week,TRUE,,TRUE,TRUE,Good,15,294,Data files with LiveRamp identifier,NA,,1/18/2024 2:50 AM,"Durairaj, Prabhu"
165,dnb gsem data,8,Monthly,TRUE,,TRUE,TRUE,Good,9,251,D&B GSEM data estimates of employee size and revenue.,https://github.hpe.com/hpe/osrm/blob/main/code/gsem.sql,,01-02-2024 10:24,"Glander, Michael"
166,6sense,8,Daily,FALSE,,TRUE,TRUE,NA,9,227,Not Yet Added,NA,03-07-2024,03-07-2024 07:23,"Lara, Victor"
167,account classification stid and mdcp level,8,More than once a day,TRUE,,FALSE,TRUE,Good,9,294,Not Yet Added,NA,,1/18/2024 3:19 AM,"Durairaj, Prabhu"
170,idc segmentation,8,Monthly,FALSE,,TRUE,TRUE,NA,9,278,Mapping of SIC8 to IDC industry/segment.,NA,10-06-2023,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
171,party dimension flattned,3,Weekly,TRUE,,TRUE,TRUE,Good,9,266,EMDM Party Hierarchy from EAP Data,Not Yet Added,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
172,cdr p bus sum mkt region mapping,8,Half-Yearly,TRUE,"Original Process Title was: ""cdr_p_bus_sum"".""mkt_region_mapping""",TRUE,TRUE,Good,9,295,Contact to Region mapping as of FY23.,https://github.hpe.com/hpe/Customer_Analytics/tree/main/Geo%20Mapping,,12/13/2023 2:30 AM,"Ali, Mohd Yusuf"
173,203222 cde gma data mart contact health targetaccounts remaining,8,Daily,TRUE,Original Process Title was: 203222_cde_gma_data_mart.contact_health_targetaccounts_remaining,TRUE,TRUE,Good,9,229,It holds the ABM Accounts which doesn't have contacts.,https://github.hpe.com/hpe/Customer_Analytics/tree/main/Marketing%20Universe,,1/21/2024 10:22 AM,"Ali, Mohd Yusuf"
174,HG IT Spend,8,Weekly,TRUE,Original Process Title was: 203222_cmn_competitor_installed_base.hg_it_spend,TRUE,TRUE,Good,9,242,The ultimate business to business market forecast for current annual year,NA,,1/22/2024 2:57 AM,"G, Sreejith (Global Marketing Analytics(GMA))"
175,profound data,8,Weekly,TRUE,Original Process Title was: 203222_cmn_competitor_installed_base.profound_data,TRUE,TRUE,Good,9,242,Helps to identify the cloud infrastructure presence at duns level,NA,,1/22/2024 3:10 AM,"G, Sreejith (Global Marketing Analytics(GMA))"
176,profound gduns dbi,8,Weekly,TRUE,Original Process Title was: 203222_cmn_competitor_installed_base.profound_gduns_dbi,TRUE,TRUE,Good,9,242,Helps to identify the cloud infrastructure presence at gduns level,NA,,1/22/2024 3:08 AM,"G, Sreejith (Global Marketing Analytics(GMA))"
177,abm initial base,8,Daily,TRUE,,TRUE,TRUE,Good,9,229,ABM initial base,Not Yet Added,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
178,abm sic mapping,8,Yearly,TRUE,,TRUE,TRUE,Good,9,294,Not Yet Added,https://github.hpe.com/hpe/abm_targeting,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
179,active mdcp ids,8,Weekly,FALSE,,TRUE,TRUE,NA,9,266,Active MDCP IDs from SFDC,NA,10-06-2023,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
